threshold,alerts,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives,total_cost
0.02,112242,0.03597583792163361,0.9936023622047244,0.0694375182707685,4038,108204,26,5840,1095040
0.04,101949,0.03929415688236275,0.9857283464566929,0.07557563695018535,4006,97943,58,16101,1008430
0.06,90989,0.043565705744650456,0.9753937007874016,0.08340609975487359,3964,87025,100,27019,920250
0.08,80794,0.048518454340668864,0.9645669291338582,0.092389639161894,3920,76874,144,37170,840740
0.1,71848,0.05393330364101993,0.953494094488189,0.10209189587943936,3875,67973,189,46071,774230
0.12,63902,0.05977903664987012,0.9399606299212598,0.11240914574934525,3820,60082,244,53962,722820
0.14,56836,0.0662960095713984,0.9271653543307087,0.12374384236453202,3768,53068,296,60976,678680
0.16,50673,0.07333293864582717,0.9143700787401575,0.13577653141385168,3716,46957,348,67087,643570
0.18,45069,0.08125318955379529,0.9010826771653543,0.14906478334317058,3662,41407,402,72637,615070
0.2,40346,0.08964953155207456,0.8900098425196851,0.16289124071155145,3617,36729,447,77315,590790
0.22,36085,0.09868366357212138,0.87623031496063,0.17738922513636704,3561,32524,503,81520,576740
0.24,32545,0.10788139499155017,0.8639271653543307,0.19181075691769783,3511,29034,553,85010,566840
0.26,29457,0.11701802627558815,0.8481791338582677,0.2056621222517228,3447,26010,617,88034,568600
0.28,26725,0.12688493919550983,0.8343996062992126,0.2202734742927669,3391,23334,673,90710,569840
0.3,24379,0.13671602608802658,0.8201279527559056,0.23436346376964456,3333,21046,731,92998,575960
0.32,22224,0.1468682505399568,0.8031496062992126,0.2483262325015216,3264,18960,800,95084,589600
0.34,20466,0.15679663832698135,0.7896161417322834,0.2616388096208724,3209,17257,855,96787,600070
0.36,18876,0.16740834922653106,0.7775590551181102,0.27550130775937226,3160,15716,904,98328,609160
0.38,17486,0.1780281367951504,0.765994094488189,0.2889095127610209,3113,14373,951,99671,619230
0.4,16199,0.1892092104450892,0.7541830708661418,0.3025218378325026,3065,13134,999,100910,630840
0.42,15056,0.19945536663124336,0.7389271653543307,0.3141213389121339,3003,12053,1061,101991,651030
0.44,13931,0.2114708204723279,0.7249015748031497,0.32742428452347877,2946,10985,1118,103059,668850
0.46,12893,0.22368727216318932,0.7096456692913385,0.34015450846258183,2884,10009,1180,104035,690090
0.48,11964,0.2363757940488131,0.6958661417322834,0.3528824557025206,2828,9136,1236,104908,709360
0.5,11106,0.24914460651899875,0.6808562992125984,0.36479894528675016,2767,8339,1297,105705,731890
0.52,10270,0.26251217137293087,0.6633858267716536,0.376168550299986,2696,7574,1368,106470,759740
0.54,9520,0.27846638655462186,0.6523129921259843,0.39031213191990577,2651,6869,1413,107175,775190
0.56,8818,0.2925833522340667,0.6348425196850394,0.4005589194224499,2580,6238,1484,107806,804380
0.58,8159,0.3087388160313764,0.6198326771653543,0.4121737707600425,2519,5640,1545,108404,828900
0.6,7545,0.3256461232604374,0.6045767716535433,0.4232922732362822,2457,5088,1607,108956,854380
0.62,6941,0.34519521682754645,0.5895669291338582,0.43543843707405727,2396,4545,1668,109499,879450
0.64,6349,0.3655693810048827,0.5711122047244095,0.44578891769903006,2321,4028,1743,110016,911780
0.66,5791,0.38749784147815575,0.5521653543307087,0.45540334855403347,2244,3547,1820,110497,945470
0.68,5283,0.4092371758470566,0.531988188976378,0.46260832352626513,2162,3121,1902,110923,982210
0.7000000000000001,4820,0.4319502074688797,0.5123031496062992,0.4687077892841063,2082,2738,1982,111306,1018380
0.72,4412,0.4558023572076156,0.49483267716535434,0.47451628126474754,2011,2401,2053,111643,1050510
0.74,4008,0.48078842315369263,0.47416338582677164,0.47745292368681863,1927,2081,2137,111963,1089310
0.76,3647,0.5028790786948176,0.4512795275590551,0.4756840876669693,1834,1813,2230,112231,1133130
0.78,3276,0.5338827838827839,0.43036417322834647,0.476566757493188,1749,1527,2315,112517,1172770
0.8,2948,0.5593622795115333,0.40575787401574803,0.47033656588705075,1649,1299,2415,112745,1220490
0.8200000000000001,2628,0.591324200913242,0.3823818897637795,0.46443514644351463,1554,1074,2510,112970,1265740
0.84,2306,0.6300954032957502,0.3575295275590551,0.45620094191522764,1453,853,2611,113191,1314030
0.86,1997,0.6750125187781673,0.3316929133858268,0.44481108727932683,1348,649,2716,113395,1364490
0.88,1751,0.7155910908052542,0.3083169291338583,0.43095442820292346,1253,498,2811,113546,1410480
0.9,1530,0.7522875816993464,0.28321850393700787,0.41151233464426173,1151,379,2913,113665,1460290
0.92,1303,0.8027628549501151,0.2573818897637795,0.3897894540711757,1046,257,3018,113787,1511570
0.9400000000000001,1084,0.8440959409594095,0.22514763779527558,0.3554778554778555,915,169,3149,113875,1576190
0.96,871,0.886337543053961,0.18996062992125984,0.3128672745694022,772,99,3292,113945,1646990
