day,transactions,fraud_in_day,alerts_reviewed,fraud_captured,precision,recall
141,2574,122,500,97,0.194,0.7950819672131147
142,2391,103,500,89,0.178,0.8640776699029126
143,2064,71,500,63,0.126,0.8873239436619719
144,2718,90,500,72,0.144,0.8
145,2668,67,500,55,0.11,0.8208955223880597
146,2990,98,500,75,0.15,0.7653061224489796
147,2718,79,500,48,0.096,0.6075949367088608
148,3060,86,500,67,0.134,0.7790697674418605
149,2289,66,500,55,0.11,0.8333333333333334
150,2209,69,500,55,0.11,0.7971014492753623
151,3101,99,500,87,0.174,0.8787878787878788
152,3896,120,500,95,0.19,0.7916666666666666
153,3105,126,500,104,0.208,0.8253968253968254
154,3783,94,500,74,0.148,0.7872340425531915
155,3352,119,500,95,0.19,0.7983193277310925
156,2575,54,500,42,0.084,0.7777777777777778
157,2259,69,500,53,0.106,0.7681159420289855
158,3048,81,500,61,0.122,0.7530864197530864
159,2845,89,500,77,0.154,0.8651685393258427
160,2878,85,500,68,0.136,0.8
161,2854,68,500,52,0.104,0.7647058823529411
162,3233,114,500,94,0.188,0.8245614035087719
163,2880,136,500,102,0.204,0.75
164,2988,77,500,50,0.1,0.6493506493506493
165,3038,73,500,52,0.104,0.7123287671232876
166,2931,94,500,72,0.144,0.7659574468085106
167,3020,119,500,94,0.188,0.7899159663865546
168,2948,116,500,83,0.166,0.7155172413793104
169,3191,146,500,112,0.224,0.7671232876712328
170,2409,101,500,78,0.156,0.7722772277227723
171,2795,68,500,61,0.122,0.8970588235294118
172,3160,81,500,63,0.126,0.7777777777777778
173,2866,142,500,117,0.234,0.823943661971831
174,2837,87,500,67,0.134,0.7701149425287356
175,2683,108,500,85,0.17,0.7870370370370371
176,3032,145,500,115,0.23,0.7931034482758621
177,2364,109,500,86,0.172,0.7889908256880734
178,2068,88,500,82,0.164,0.9318181818181818
179,2177,66,500,55,0.11,0.8333333333333334
180,2618,98,500,74,0.148,0.7551020408163265
181,2739,122,500,97,0.194,0.7950819672131147
182,2754,119,500,102,0.204,0.8571428571428571
