feature,mean_abs_shap
P_emaildomain,0.1813898
C14,0.17852436
C13,0.17662323
card6,0.17265184
TransactionAmt,0.16616236
C1,0.15194744
V70,0.13341701
C11,0.1317039
R_emaildomain,0.124566555
card_avg_amount_prior,0.11920244
V294,0.1180296
id_31,0.11591628
D2,0.112606615
M4,0.10402224
card_max_amount_prior,0.09005301
DeviceInfo,0.08887491
M6,0.07985263
D3,0.07859775
V258,0.07368993
M5,0.07359247
V91,0.07028545
C2,0.069945954
C6,0.0676203
card_prior_txn_count,0.06697547
D4,0.059428047
C5,0.05815934
dist1,0.057433482
M3,0.05676239
V308,0.05661284
id_30,0.05461412
C8,0.05313838
D1,0.05162449
D15,0.050706033
card4,0.05053837
addr1,0.049399767
ProductCD,0.040940296
id_33,0.03798629
transaction_hour,0.036553163
D11,0.03435206
log_amount,0.03337571
seconds_since_card_last_txn,0.03302598
V90,0.032964107
V49,0.032394633
amount_vs_card_avg_ratio,0.031564314
V317,0.031045455
V29,0.030757178
D5,0.028017187
C4,0.02780072
D10,0.026840964
V285,0.023570482
C9,0.02247817
V102,0.021946985
V62,0.021651112
V310,0.021475121
V38,0.019829469
V281,0.019470615
id_02,0.019241972
V2,0.018617896
V315,0.016939444
V54,0.016422588
V83,0.015919905
M9,0.015309083
id_17,0.015306471
V45,0.015165788
V316,0.015113066
D13,0.014867949
V128,0.014491942
D8,0.014381787
V82,0.013926358
V264,0.013924625
V55,0.013179376
V283,0.01317291
V172,0.012705987
V218,0.01188181
V165,0.011352275
V312,0.011273779
V67,0.011025587
V87,0.010796025
V307,0.010777406
V34,0.0107742725
V314,0.010769823
M7,0.0105241975
V56,0.010506507
V266,0.010444481
V313,0.010284808
V173,0.010204067
id_20,0.010045578
V61,0.00968065
V187,0.0096065225
V131,0.009462818
V130,0.009378636
V224,0.0091748955
V99,0.009047608
V320,0.00904478
V206,0.008969925
V12,0.0087339
d_missing_count,0.008317979
V94,0.008144567
V296,0.007711437
V295,0.0077073984
V205,0.0076531423
V309,0.0076370924
C3,0.007572045
V291,0.007443059
M2,0.007397647
V48,0.0072979894
C10,0.0070876093
C12,0.0069918763
V201,0.006720317
v_features_missing_count,0.0066619795
V76,0.006598433
V33,0.006465509
M8,0.0063510216
V13,0.006248953
V126,0.0061409962
V280,0.0060870107
V136,0.006078949
V20,0.006075018
V36,0.0059393947
transaction_dow,0.005928311
id_06,0.005787553
V11,0.005732993
V24,0.005627983
V311,0.0056071403
V53,0.005499685
V19,0.005401115
id_01,0.005241046
V127,0.0052330424
V35,0.00522413
email_domain_match,0.004731688
V164,0.0047093653
V5,0.00460658
V30,0.0043439018
V75,0.0042497204
D12,0.004225981
V124,0.0041359514
D14,0.0039787027
V95,0.0039663133
id_03,0.003966204
V86,0.003919106
V152,0.0036648738
V135,0.0035980195
id_05,0.0035257828
V225,0.0035127925
id_19,0.0034332485
V4,0.0034288857
id_09,0.0033643825
V133,0.0033315185
V96,0.0033119393
id_15,0.0033050254
V23,0.0032200413
id_14,0.0031813683
dist2,0.003050191
V44,0.0029461768
V66,0.002902885
V156,0.002844194
v_features_missing_pct,0.002843421
V290,0.0028155814
V260,0.002809092
V261,0.0027998153
V207,0.0027967843
V69,0.0027698271
D6,0.0027348245
m_missing_count,0.0026363854
V129,0.0026069223
V7,0.002550847
V244,0.00245628
V306,0.0024529553
id_18,0.0023880538
V282,0.002386022
V209,0.0023428567
V253,0.0022841983
id_features_missing_count,0.002158296
V37,0.002119183
V162,0.0020524794
V64,0.002049284
V293,0.0019836926
V169,0.0019827415
V10,0.0019656355
id_13,0.0019237982
V52,0.0019137524
V78,0.0018984462
V175,0.0018969139
V221,0.0018169088
V177,0.0018122013
V231,0.0017446552
addr2,0.0017441252
V279,0.0017249186
V77,0.001696405
V150,0.001631353
V217,0.001618883
V193,0.00155957
V339,0.0015330539
V243,0.0015106696
V251,0.0015052491
V168,0.0014783695
V250,0.0014735012
V6,0.0014712688
V74,0.0014624038
id_16,0.0014423861
V271,0.001402236
V267,0.0013957071
V337,0.0013436947
V115,0.0013427496
V318,0.0013126456
V286,0.0013053254
D9,0.0012975971
V179,0.001293456
V287,0.0012921464
V189,0.0012458005
V319,0.0012409624
V63,0.0012379017
V149,0.0011979049
V85,0.0011919101
V289,0.001159241
V245,0.0011487321
V228,0.0011320583
V292,0.0011135447
purchaser_email_is_free,0.0011128179
V25,0.0011033851
V223,0.001097548
V171,0.0010851697
V137,0.0010690383
V321,0.0010543357
V257,0.001033457
V298,0.0010269311
id_12,0.0010174618
V333,0.0010144262
V268,0.0010088371
V300,0.0010069018
V200,0.0010031322
V336,0.0009934072
V47,0.0009813623
V214,0.00096170814
V160,0.0009290597
id_11,0.0008946089
V60,0.0008769952
V215,0.0008684464
V58,0.0008607287
V166,0.00085194845
V324,0.0008246028
V178,0.0008177022
V332,0.00081530714
V50,0.00081467244
V158,0.0008051897
V259,0.0007687286
V26,0.00074473093
V272,0.0007276331
V335,0.00070620654
V145,0.00069347577
V81,0.0006573411
V256,0.0006466282
V326,0.00064574776
V143,0.00063938997
V134,0.0006389266
V229,0.0006371009
V161,0.00063328946
has_dist1,0.00062790065
V220,0.0006241308
V100,0.00062120863
id_38,0.0005992994
V329,0.0005789392
V159,0.0005780734
V51,0.00057261804
V210,0.00054863095
V276,0.0005439927
V46,0.00052046287
has_recipient_email,0.00051320676
V330,0.0005022585
V123,0.00049128913
V303,0.00046019207
id_36,0.00044805618
V182,0.00043983597
V323,0.00043869275
V3,0.00043784184
V236,0.0004288109
id_25,0.0004215703
V233,0.0004201946
V274,0.00041616778
V79,0.0004120806
V105,0.00038839068
V322,0.0003865243
V277,0.00038453317
V230,0.00038176955
V208,0.0003797735
V167,0.0003780935
V40,0.00037358695
D7,0.00037248476
V203,0.0003713816
V338,0.00036838045
V212,0.0003632782
V273,0.00035962163
V219,0.00035689474
V246,0.00035398404
V269,0.00035030604
V204,0.00034982472
V9,0.00034858688
V227,0.00034613913
V270,0.0003449749
V288,0.00033964598
V132,0.0003216022
V234,0.00030993554
V97,0.0003029632
V222,0.00030096702
V263,0.0002993661
V183,0.00029196433
V247,0.000286395
id_37,0.00028209508
V265,0.00027686325
V73,0.0002751282
V8,0.00027441359
