TransactionID,TransactionDT,transaction_day,isFraud,TransactionAmt,ProductCD,card4,card6,P_emaildomain,DeviceType,fraud_probability,risk_tier,top_reason_1,top_reason_2,top_reason_3
3492819,13237810,153,1,200.0,H,visa,debit,yahoo.com,mobile,0.9996469,Critical,device/browser string (VS425PP Build/LMY47V) increased risk,masked counting feature (C1) increased risk,masked counting feature (C13) increased risk
3478001,12798054,148,1,150.0,H,visa,debit,yahoo.com,mobile,0.9995695,Critical,device/browser string (VS425PP Build/LMY47V) increased risk,masked counting feature (C1) increased risk,masked counting feature (C13) increased risk
3494166,13287067,153,1,39.593,C,visa,credit,gmail.com,desktop,0.9995159,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C14) increased risk
3494143,13286607,153,1,39.593,C,mastercard,debit,gmail.com,desktop,0.9993734,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C14) increased risk
3475683,12747584,147,1,53.611,C,mastercard,credit,gmail.com,desktop,0.999361,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C14) increased risk,masked Vesta-engineered feature (V45) increased risk
3479505,12853854,148,1,106.483,C,visa,credit,gmail.com,desktop,0.9993486,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V45) increased risk
3479234,12849528,148,1,58.653,C,mastercard,credit,gmail.com,desktop,0.99934644,Critical,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V45) increased risk,masked counting feature (C14) increased risk
3481073,12887326,149,1,44.266,C,mastercard,credit,gmail.com,desktop,0.99933976,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V45) increased risk
3479238,12849581,148,1,58.653,C,mastercard,credit,gmail.com,desktop,0.9993394,Critical,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V45) increased risk,masked counting feature (C14) increased risk
3545361,14772498,170,1,300.0,R,discover,credit,gmail.com,mobile,0.9993293,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C14) increased risk,masked Vesta-engineered feature (V156) increased risk
3490488,13194824,152,1,175.956,C,mastercard,credit,gmail.com,desktop,0.99932396,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C14) increased risk
3494151,13286720,153,1,39.593,C,mastercard,credit,gmail.com,desktop,0.9993236,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V45) increased risk
3475674,12747415,147,1,53.611,C,mastercard,credit,gmail.com,desktop,0.99931633,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C14) increased risk,masked Vesta-engineered feature (V45) increased risk
3556851,15114689,174,1,300.0,R,visa,debit,gmail.com,mobile,0.9993013,Critical,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V156) increased risk,masked counting feature (C1) increased risk
3481067,12887085,149,1,44.266,C,visa,credit,gmail.com,desktop,0.99926966,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V45) increased risk
3495231,13305842,154,1,39.593,C,visa,credit,gmail.com,desktop,0.99919873,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V45) increased risk
3481071,12887249,149,1,44.266,C,visa,debit,gmail.com,desktop,0.99918574,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V45) increased risk
3481070,12887203,149,1,44.266,C,visa,debit,gmail.com,desktop,0.9991806,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V45) increased risk
3556658,15110762,174,1,300.0,R,mastercard,debit,gmail.com,mobile,0.9991591,Critical,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V156) increased risk,masked counting feature (C1) increased risk
3481069,12887154,149,1,44.266,C,visa,credit,gmail.com,desktop,0.9991048,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V45) increased risk
3481125,12891829,149,1,150.0,H,visa,debit,yahoo.com,mobile,0.9990926,Critical,device/browser string (VS425PP Build/LMY47V) increased risk,masked counting feature (C13) increased risk,masked counting feature (C1) increased risk
3519759,14046496,162,1,450.0,R,visa,credit,gmail.com,desktop,0.99906343,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V156) increased risk,masked Vesta-engineered feature (V258) increased risk
3481075,12887400,149,1,44.266,C,mastercard,credit,gmail.com,desktop,0.9990489,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V45) increased risk
3494175,13287192,153,1,39.593,C,visa,credit,gmail.com,desktop,0.9990404,Critical,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V258) increased risk,masked Vesta-engineered feature (V45) increased risk
3475670,12747378,147,1,53.611,C,mastercard,credit,gmail.com,desktop,0.9990126,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C14) increased risk,masked Vesta-engineered feature (V45) increased risk
3499650,13408906,155,1,375.0,R,mastercard,debit,gmail.com,mobile,0.9990019,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V156) increased risk
3472050,12618950,146,1,33.261,C,visa,credit,gmail.com,desktop,0.99899334,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C1) increased risk,masked Vesta-engineered feature (V45) increased risk
3545324,14771844,170,1,300.0,R,visa,debit,gmail.com,mobile,0.99897695,Critical,masked Vesta-engineered feature (V258) increased risk,masked counting feature (C14) increased risk,masked Vesta-engineered feature (V156) increased risk
